protein_accession,protein_description,control_1,control_2,control_3,treatment_1,treatment_2,treatment_3
INSC_HUMAN_Q1MX18,Protein inscuteable homolog OS=Homo sapiens GN=INSC PE=1 SV=1,NA,NA,NA,NA,NA,NA
ANKR6_HUMAN_Q9Y2G4,Ankyrin repeat domain-containing protein 6 OS=Homo sapiens GN=ANKRD6 PE=2 SV=3,NA,NA,NA,NA,NA,NA
G3V4B8_HUMAN_G3V4B8,WD repeat-containing protein 89 (Fragment) OS=Homo sapiens GN=WDR89 PE=1 SV=1,NA,NA,NA,0.0283,NA,NA
LAMA4_HUMAN_Q16363,Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=4,NA,NA,NA,NA,NA,NA
H3BP52_HUMAN_H3BP52,MAX gene-associated protein (Fragment) OS=Homo sapiens GN=MGA PE=1 SV=1,NA,NA,NA,NA,NA,NA
MMP21_HUMAN_Q8N119,Matrix metalloproteinase-21 OS=Homo sapiens GN=MMP21 PE=2 SV=2,NA,0.013,NA,NA,NA,NA
GEMI6_HUMAN_Q8WXD5,Gem-associated protein 6 OS=Homo sapiens GN=GEMIN6 PE=1 SV=1,NA,NA,NA,NA,NA,NA
DZI1L_HUMAN_Q8IYY4,Zinc finger protein DZIP1L OS=Homo sapiens GN=DZIP1L PE=1 SV=2,NA,0.4499,NA,NA,NA,NA
PCDGF_HUMAN_Q9Y5G1,Protocadherin gamma-B3 OS=Homo sapiens GN=PCDHGB3 PE=1 SV=3,0.2555,NA,NA,NA,NA,NA
TDRKH_HUMAN_Q9Y2W6,Tudor and KH domain-containing protein OS=Homo sapiens GN=TDRKH PE=1 SV=2,NA,NA,NA,NA,0.1126,NA
ZN136_HUMAN_P52737,Zinc finger protein 136 OS=Homo sapiens GN=ZNF136 PE=1 SV=1,0.8004,NA,NA,NA,NA,NA
NR2C1_HUMAN_P13056,Nuclear receptor subfamily 2 group C member 1 OS=Homo sapiens GN=NR2C1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
AOC1_HUMAN_P19801,Amiloride-sensitive amine oxidase [copper-containing] OS=Homo sapiens GN=AOC1 PE=1 SV=4,NA,NA,NA,NA,NA,0.093
ELP4_HUMAN_Q96EB1,Elongator complex protein 4 OS=Homo sapiens GN=ELP4 PE=1 SV=2,NA,NA,NA,NA,NA,NA
A0A0G2JR51_HUMAN_A0A0G2JR51,Neutrophil cytosol factor 4 (Fragment) OS=Homo sapiens GN=NCF4 PE=1 SV=1,NA,NA,NA,NA,NA,NA
RNF12_HUMAN_Q9NVW2,E3 ubiquitin-protein ligase RLIM OS=Homo sapiens GN=RLIM PE=1 SV=3,NA,NA,NA,NA,NA,NA
MOB3C_HUMAN_Q70IA8,MOB kinase activator 3C OS=Homo sapiens GN=MOB3C PE=1 SV=1,NA,NA,NA,NA,NA,0.0287
TARB1_HUMAN_Q13395,Probable methyltransferase TARBP1 OS=Homo sapiens GN=TARBP1 PE=1 SV=1,0.0227,NA,NA,NA,NA,NA
F8WAE5_HUMAN_F8WAE5,Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=1,NA,NA,NA,0.5595,NA,NA
H0YC66_HUMAN_H0YC66,Disintegrin and metalloproteinase domain-containing protein 19 (Fragment) OS=Homo sapiens GN=ADAM19 PE=1 SV=1,NA,NA,NA,NA,NA,NA
MSMO1_HUMAN_Q15800,Methylsterol monooxygenase 1 OS=Homo sapiens GN=MSMO1 PE=1 SV=1,NA,NA,NA,NA,0.038,NA
MK04_HUMAN_P31152,Mitogen-activated protein kinase 4 OS=Homo sapiens GN=MAPK4 PE=1 SV=2,NA,NA,NA,NA,NA,NA
G3V1L6_HUMAN_G3V1L6,Chromosome 20 open reading frame 42_ isoform CRA_c OS=Homo sapiens GN=FERMT1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
J3KSD8_HUMAN_J3KSD8,Bleomycin hydrolase (Fragment) OS=Homo sapiens GN=BLMH PE=1 SV=8,0.0088,NA,NA,NA,NA,NA
A0A0U1RRE1_HUMAN_A0A0U1RRE1,Septin-7 (Fragment) OS=Homo sapiens GN=SEPT7 PE=1 SV=1,0.1639,NA,NA,NA,NA,NA
VSX2_HUMAN_P58304,Visual system homeobox 2 OS=Homo sapiens GN=VSX2 PE=1 SV=1,NA,NA,0.0094,NA,NA,NA
B4DL54_HUMAN_B4DL54,CHURC1-FNTB readthrough OS=Homo sapiens GN=CHURC1-FNTB PE=2 SV=1,NA,NA,NA,NA,NA,NA
DHX35_HUMAN_Q9H5Z1,Probable ATP-dependent RNA helicase DHX35 OS=Homo sapiens GN=DHX35 PE=1 SV=2,NA,NA,NA,NA,NA,NA
G5E9Y1_HUMAN_G5E9Y1,Amyloid beta (A4) protein-binding_ family B_ member 2 (Fe65-like)_ isoform CRA_c OS=Homo sapiens GN=APBB2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
X6RA30_HUMAN_X6RA30,Cell division cycle protein 123 homolog OS=Homo sapiens GN=CDC123 PE=1 SV=1,NA,NA,NA,NA,NA,NA
EXOC6_HUMAN_Q8TAG9,Exocyst complex component 6 OS=Homo sapiens GN=EXOC6 PE=1 SV=3,NA,NA,NA,NA,NA,NA
A0A0U1RQQ2_HUMAN_A0A0U1RQQ2,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (Fragment) OS=Homo sapiens GN=SMARCB1 PE=1 SV=1,NA,NA,NA,NA,0.0192,NA
FWCH2_HUMAN_Q96CP2,FLYWCH family member 2 OS=Homo sapiens GN=FLYWCH2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
MIPEP_HUMAN_Q99797,Mitochondrial intermediate peptidase OS=Homo sapiens GN=MIPEP PE=1 SV=2,NA,NA,NA,NA,NA,1.1255
AGRG6_HUMAN_Q86SQ4,Adhesion G-protein coupled receptor G6 OS=Homo sapiens GN=ADGRG6 PE=1 SV=3,NA,NA,NA,NA,NA,NA
ST134_HUMAN_Q8IZP2,Putative protein FAM10A4 OS=Homo sapiens GN=ST13P4 PE=5 SV=1,NA,NA,NA,NA,NA,1.3301
H0YM91_HUMAN_H0YM91,Brachyury protein (Fragment) OS=Homo sapiens GN=T PE=4 SV=1,NA,NA,NA,NA,NA,0.9723
CALL5_HUMAN_Q9NZT1,Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2,NA,NA,NA,NA,NA,NA
E9PMZ8_HUMAN_E9PMZ8,T-lymphoma invasion and metastasis-inducing protein 2 (Fragment) OS=Homo sapiens GN=TIAM2 PE=1 SV=1,NA,NA,NA,NA,0.0662,NA
Q9H029_HUMAN_Q9H029,GTP-binding protein SAR1b OS=Homo sapiens GN=DKFZp434B2017 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PIN1_HUMAN_Q13526,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens GN=PIN1 PE=1 SV=1,NA,NA,NA,NA,0.0727,NA
H3BNU1_HUMAN_H3BNU1,TBC1 domain family member 24 OS=Homo sapiens GN=TBC1D24 PE=1 SV=2,0.0897,NA,NA,NA,NA,NA
DGKA_HUMAN_P23743,Diacylglycerol kinase alpha OS=Homo sapiens GN=DGKA PE=1 SV=3,NA,NA,NA,NA,NA,0.1166
NOX3_HUMAN_Q9HBY0,NADPH oxidase 3 OS=Homo sapiens GN=NOX3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
H3BMZ2_HUMAN_H3BMZ2,CCR4-NOT transcription complex subunit 1 (Fragment) OS=Homo sapiens GN=CNOT1 PE=1 SV=1,NA,NA,NA,0.0315,NA,NA
C9J2N8_HUMAN_C9J2N8,Zinc finger protein 823 (Fragment) OS=Homo sapiens GN=ZNF823 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A087X105_HUMAN_A0A087X105,Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 PE=1 SV=1,NA,NA,NA,0.0093,NA,NA
OASL_HUMAN_Q15646,2'-5'-oligoadenylate synthase-like protein OS=Homo sapiens GN=OASL PE=1 SV=2,NA,NA,NA,NA,NA,NA
RUBIC_HUMAN_Q92622,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein OS=Homo sapiens GN=RUBCN PE=1 SV=4,NA,NA,NA,NA,NA,NA
E7ESU7_HUMAN_E7ESU7,C-terminal-binding protein 1 (Fragment) OS=Homo sapiens GN=CTBP1 PE=1 SV=1,NA,NA,NA,NA,NA,0.0683
TGON2_HUMAN_O43493,Trans-Golgi network integral membrane protein 2 OS=Homo sapiens GN=TGOLN2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
CARD8_HUMAN_Q9Y2G2,Caspase recruitment domain-containing protein 8 OS=Homo sapiens GN=CARD8 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A096LNV2_HUMAN_A0A096LNV2,Fer-1-like protein 5 OS=Homo sapiens GN=FER1L5 PE=4 SV=1,NA,NA,NA,NA,NA,NA
E9PQ74_HUMAN_E9PQ74,Growth arrest-specific protein 2 (Fragment) OS=Homo sapiens GN=GAS2 PE=1 SV=1,NA,NA,0.0114,NA,NA,NA
A0A0C4DGV3_HUMAN_A0A0C4DGV3,NAD kinase 2_ mitochondrial OS=Homo sapiens GN=NADK2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
X5CMH5_HUMAN_X5CMH5,Antigen peptide transporter 2 OS=Homo sapiens GN=TAP2 PE=1 SV=1,0.1481,NA,NA,NA,NA,NA
CASP_HUMAN_Q13948,Protein CASP OS=Homo sapiens GN=CUX1 PE=1 SV=2,NA,NA,NA,NA,0.1819,NA
IL6RA_HUMAN_P08887,Interleukin-6 receptor subunit alpha OS=Homo sapiens GN=IL6R PE=1 SV=1,NA,NA,NA,NA,NA,NA
REM1_HUMAN_O75628,GTP-binding protein REM 1 OS=Homo sapiens GN=REM1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
AK1BF_HUMAN_C9JRZ8,Aldo-keto reductase family 1 member B15 OS=Homo sapiens GN=AKR1B15 PE=1 SV=2,NA,0.1073,NA,NA,NA,NA
C9J6B1_HUMAN_C9J6B1,Ras-related protein Ral-B (Fragment) OS=Homo sapiens GN=RALB PE=1 SV=1,NA,NA,NA,0.0123,NA,NA
SOBP_HUMAN_A7XYQ1,Sine oculis-binding protein homolog OS=Homo sapiens GN=SOBP PE=1 SV=2,NA,NA,NA,NA,NA,NA
YTDC2_HUMAN_Q9H6S0,Probable ATP-dependent RNA helicase YTHDC2 OS=Homo sapiens GN=YTHDC2 PE=1 SV=2,NA,NA,NA,NA,0.1195,NA
ABCG1_HUMAN_P45844,ATP-binding cassette sub-family G member 1 OS=Homo sapiens GN=ABCG1 PE=1 SV=3,NA,NA,NA,NA,NA,NA
TF3C2_HUMAN_Q8WUA4,General transcription factor 3C polypeptide 2 OS=Homo sapiens GN=GTF3C2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
MCM8_HUMAN_Q9UJA3,DNA helicase MCM8 OS=Homo sapiens GN=MCM8 PE=1 SV=2,NA,NA,NA,NA,NA,NA
MYL3_HUMAN_P08590,Myosin light chain 3 OS=Homo sapiens GN=MYL3 PE=1 SV=3,NA,NA,NA,NA,0.008,NA
MEPE_HUMAN_Q9NQ76,Matrix extracellular phosphoglycoprotein OS=Homo sapiens GN=MEPE PE=1 SV=1,NA,NA,NA,NA,NA,NA
HACL1_HUMAN_Q9UJ83,2-hydroxyacyl-CoA lyase 1 OS=Homo sapiens GN=HACL1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
WDR93_HUMAN_Q6P2C0,WD repeat-containing protein 93 OS=Homo sapiens GN=WDR93 PE=2 SV=1,NA,NA,NA,NA,0.0112,NA
HESX1_HUMAN_Q9UBX0,Homeobox expressed in ES cells 1 OS=Homo sapiens GN=HESX1 PE=1 SV=1,NA,NA,0.0452,NA,NA,NA
Z3H7B_HUMAN_Q9UGR2,Zinc finger CCCH domain-containing protein 7B OS=Homo sapiens GN=ZC3H7B PE=1 SV=1,NA,NA,NA,NA,NA,NA
H7C3I7_HUMAN_H7C3I7,Stromelysin-3 (Fragment) OS=Homo sapiens GN=MMP11 PE=1 SV=1,NA,NA,NA,NA,NA,0.1096
K7ERT1_HUMAN_K7ERT1,DNA fragmentation factor subunit alpha OS=Homo sapiens GN=DFFA PE=1 SV=1,NA,NA,0.177,NA,NA,NA
J3KSB5_HUMAN_J3KSB5,Neurofibromin (Fragment) OS=Homo sapiens GN=NF1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
C9JER0_HUMAN_C9JER0,POM121 and ZP3 fusion protein OS=Homo sapiens GN=POMZP3 PE=4 SV=1,NA,NA,NA,NA,NA,NA
A0A0A0MQZ4_HUMAN_A0A0A0MQZ4,Protein phosphatase 1K_ mitochondrial OS=Homo sapiens GN=PPM1K PE=1 SV=1,NA,NA,NA,NA,0.0256,NA
IFT56_HUMAN_A0AVF1,Intraflagellar transport protein 56 OS=Homo sapiens GN=TTC26 PE=2 SV=1,NA,NA,NA,NA,NA,NA
OCLN_HUMAN_Q16625,Occludin OS=Homo sapiens GN=OCLN PE=1 SV=1,NA,NA,NA,NA,NA,NA
GLTL6_HUMAN_Q49A17,Polypeptide N-acetylgalactosaminyltransferase-like 6 OS=Homo sapiens GN=GALNTL6 PE=2 SV=2,NA,NA,NA,NA,0.1958,NA
SMN_HUMAN_Q16637,Survival motor neuron protein OS=Homo sapiens GN=SMN1 PE=1 SV=1,NA,0.1142,NA,NA,NA,NA
TSHR_HUMAN_P16473,Thyrotropin receptor OS=Homo sapiens GN=TSHR PE=1 SV=2,NA,NA,NA,NA,NA,NA
E9PP15_HUMAN_E9PP15,Low-density lipoprotein receptor-related protein 8 OS=Homo sapiens GN=LRP8 PE=1 SV=1,NA,0.008,NA,NA,NA,NA
BECN1_HUMAN_Q14457,Beclin-1 OS=Homo sapiens GN=BECN1 PE=1 SV=2,NA,NA,0.5688,NA,NA,NA
GEMI4_HUMAN_P57678,Gem-associated protein 4 OS=Homo sapiens GN=GEMIN4 PE=1 SV=2,NA,0.1438,NA,NA,NA,NA
DPEP2_HUMAN_Q9H4A9,Dipeptidase 2 OS=Homo sapiens GN=DPEP2 PE=1 SV=2,NA,NA,NA,0.0373,NA,NA
A0A0D9SFS3_HUMAN_A0A0D9SFS3,2-oxoglutarate dehydrogenase_ mitochondrial OS=Homo sapiens GN=OGDH PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A0G2JL69_HUMAN_A0A0G2JL69,Complement C2 OS=Homo sapiens GN=C2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A0A087WYS6_HUMAN_A0A087WYS6,Proteasome endopeptidase complex OS=Homo sapiens GN=PSMA8 PE=1 SV=1,NA,NA,NA,NA,NA,NA
G3V2A4_HUMAN_G3V2A4,Telomerase protein component 1 OS=Homo sapiens GN=TEP1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
CRBA1_HUMAN_P05813,Beta-crystallin A3 OS=Homo sapiens GN=CRYBA1 PE=1 SV=4,NA,NA,NA,NA,NA,NA
LRC49_HUMAN_Q8IUZ0,Leucine-rich repeat-containing protein 49 OS=Homo sapiens GN=LRRC49 PE=2 SV=2,0.0571,NA,NA,NA,NA,NA
AN32A_HUMAN_P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1,NA,NA,NA,NA,NA,NA
PP2BA_HUMAN_Q08209,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Homo sapiens GN=PPP3CA PE=1 SV=1,NA,NA,NA,NA,NA,0.1597
ARSJ_HUMAN_Q5FYB0,Arylsulfatase J OS=Homo sapiens GN=ARSJ PE=2 SV=1,NA,NA,NA,0.0811,NA,NA
Q5TCQ3_HUMAN_Q5TCQ3,Putative homeodomain transcription factor 1 OS=Homo sapiens GN=PHTF1 PE=1 SV=1,NA,0.3669,NA,NA,NA,NA
Q5SZR1_HUMAN_Q5SZR1,39S ribosomal protein L9_ mitochondrial OS=Homo sapiens GN=MRPL9 PE=1 SV=1,NA,NA,0.0683,NA,NA,NA
RHG42_HUMAN_A6NI28,Rho GTPase-activating protein 42 OS=Homo sapiens GN=ARHGAP42 PE=1 SV=3,NA,NA,0.497,NA,NA,NA
LRC57_HUMAN_Q8N9N7,Leucine-rich repeat-containing protein 57 OS=Homo sapiens GN=LRRC57 PE=1 SV=1,NA,NA,NA,NA,NA,NA
IQEC3_HUMAN_Q9UPP2,IQ motif and SEC7 domain-containing protein 3 OS=Homo sapiens GN=IQSEC3 PE=2 SV=3,NA,NA,NA,NA,NA,NA
PTOV1_HUMAN_Q86YD1,Prostate tumor-overexpressed gene 1 protein OS=Homo sapiens GN=PTOV1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
SWT1_HUMAN_Q5T5J6,Transcriptional protein SWT1 OS=Homo sapiens GN=SWT1 PE=2 SV=1,NA,NA,NA,NA,NA,NA
CN159_HUMAN_Q7Z3D6,UPF0317 protein C14orf159_ mitochondrial OS=Homo sapiens GN=C14orf159 PE=1 SV=2,NA,NA,NA,NA,NA,NA
CNBP_HUMAN_P62633,Cellular nucleic acid-binding protein OS=Homo sapiens GN=CNBP PE=1 SV=1,NA,NA,NA,NA,0.0331,NA
K7EQH1_HUMAN_K7EQH1,Uncharacterized protein C18orf25 (Fragment) OS=Homo sapiens GN=C18orf25 PE=1 SV=1,NA,NA,NA,NA,NA,NA
PLK1_HUMAN_P53350,Serine/threonine-protein kinase PLK1 OS=Homo sapiens GN=PLK1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
B1ALK7_HUMAN_B1ALK7,Rho guanine nucleotide exchange factor 7 OS=Homo sapiens GN=ARHGEF7 PE=1 SV=1,NA,NA,NA,0.1294,NA,NA
A0A0A0MSX9_HUMAN_A0A0A0MSX9,Isoleucine--tRNA ligase_ cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=1,1.5679,NA,NA,NA,NA,NA
SE1L3_HUMAN_Q68CR1,Protein sel-1 homolog 3 OS=Homo sapiens GN=SEL1L3 PE=1 SV=2,NA,NA,NA,NA,NA,NA
H7C0E5_HUMAN_H7C0E5,Zinc finger protein ZPR1 (Fragment) OS=Homo sapiens GN=ZPR1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
E9PEJ1_HUMAN_E9PEJ1,T-cell surface protein tactile OS=Homo sapiens GN=CD96 PE=1 SV=1,NA,NA,NA,NA,NA,NA
H0YJD4_HUMAN_H0YJD4,E3 ubiquitin-protein ligase HECTD1 (Fragment) OS=Homo sapiens GN=HECTD1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
H0Y7S3_HUMAN_H0Y7S3,Plasma membrane calcium-transporting ATPase 2 (Fragment) OS=Homo sapiens GN=ATP2B2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
VPS11_HUMAN_Q9H270,Vacuolar protein sorting-associated protein 11 homolog OS=Homo sapiens GN=VPS11 PE=1 SV=1,NA,0.3597,NA,NA,NA,NA
NMT2_HUMAN_O60551,Glycylpeptide N-tetradecanoyltransferase 2 OS=Homo sapiens GN=NMT2 PE=1 SV=1,NA,NA,NA,0.0346,NA,NA
TBG1_HUMAN_P23258,Tubulin gamma-1 chain OS=Homo sapiens GN=TUBG1 PE=1 SV=2,NA,NA,NA,NA,NA,NA
H0YKC5_HUMAN_H0YKC5,Deoxyuridine 5'-triphosphate nucleotidohydrolase_ mitochondrial (Fragment) OS=Homo sapiens GN=DUT PE=1 SV=1,NA,NA,NA,NA,NA,0.388
PPIL3_HUMAN_Q9H2H8,Peptidyl-prolyl cis-trans isomerase-like 3 OS=Homo sapiens GN=PPIL3 PE=1 SV=1,NA,NA,NA,NA,0.0132,NA
ECSCR_HUMAN_Q19T08,Endothelial cell-specific chemotaxis regulator OS=Homo sapiens GN=ECSCR PE=1 SV=1,NA,NA,NA,0.005,NA,NA
TRPM2_HUMAN_O94759,Transient receptor potential cation channel subfamily M member 2 OS=Homo sapiens GN=TRPM2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
C9JP16_HUMAN_C9JP16,Cartilage-associated protein OS=Homo sapiens GN=CRTAP PE=1 SV=1,NA,0.0684,NA,NA,NA,NA
MFGM_HUMAN_Q08431,Lactadherin OS=Homo sapiens GN=MFGE8 PE=1 SV=2,NA,NA,NA,NA,NA,NA
MSRA_HUMAN_Q9UJ68,Mitochondrial peptide methionine sulfoxide reductase OS=Homo sapiens GN=MSRA PE=1 SV=1,NA,NA,NA,NA,NA,NA
ANO3_HUMAN_Q9BYT9,Anoctamin-3 OS=Homo sapiens GN=ANO3 PE=1 SV=2,NA,NA,NA,NA,NA,NA
J3KRL7_HUMAN_J3KRL7,Period circadian protein homolog 1 OS=Homo sapiens GN=PER1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
MCLN3_HUMAN_Q8TDD5,Mucolipin-3 OS=Homo sapiens GN=MCOLN3 PE=2 SV=1,NA,NA,NA,NA,0.2117,NA
BPIA2_HUMAN_Q96DR5,BPI fold-containing family A member 2 OS=Homo sapiens GN=BPIFA2 PE=1 SV=2,NA,NA,NA,0.0029,NA,NA
I3L232_HUMAN_I3L232,HCG30384_ isoform CRA_d OS=Homo sapiens GN=B3GNTL1 PE=1 SV=1,NA,NA,NA,NA,0.1496,NA
Q5J8M5_HUMAN_Q5J8M5,Deoxyhypusine synthase OS=Homo sapiens GN=DHPS PE=1 SV=1,NA,NA,NA,NA,0.098,NA
APLP2_HUMAN_Q06481,Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 PE=1 SV=2,NA,NA,NA,NA,NA,NA
GSDMD_HUMAN_P57764,Gasdermin-D OS=Homo sapiens GN=GSDMD PE=1 SV=1,NA,NA,NA,NA,NA,0.1162
C9JZU6_HUMAN_C9JZU6,N-alpha-acetyltransferase 50 (Fragment) OS=Homo sapiens GN=NAA50 PE=1 SV=1,NA,NA,NA,NA,NA,NA
NTAN1_HUMAN_Q96AB6,Protein N-terminal asparagine amidohydrolase OS=Homo sapiens GN=NTAN1 PE=1 SV=3,NA,0.0187,NA,NA,NA,NA
E9PHS0_HUMAN_E9PHS0,LanC-like protein 1 (Fragment) OS=Homo sapiens GN=LANCL1 PE=1 SV=1,NA,0.7554,NA,NA,NA,NA
A0A0G2JQM2_HUMAN_A0A0G2JQM2,Serologically defined colon cancer antigen 8 OS=Homo sapiens GN=SDCCAG8 PE=1 SV=1,NA,NA,NA,NA,NA,NA
M3K11_HUMAN_Q16584,Mitogen-activated protein kinase kinase kinase 11 OS=Homo sapiens GN=MAP3K11 PE=1 SV=1,NA,NA,NA,NA,NA,NA
A6NHN7_HUMAN_A6NHN7,Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=1 SV=1,NA,NA,NA,NA,NA,NA
SYT7_HUMAN_O43581,Synaptotagmin-7 OS=Homo sapiens GN=SYT7 PE=1 SV=3,NA,NA,NA,NA,NA,NA
SHAN2_HUMAN_Q9UPX8,SH3 and multiple ankyrin repeat domains protein 2 OS=Homo sapiens GN=SHANK2 PE=1 SV=3,NA,NA,NA,NA,NA,0.302
OTX2_HUMAN_P32243,Homeobox protein OTX2 OS=Homo sapiens GN=OTX2 PE=1 SV=1,NA,NA,0.0178,NA,NA,NA
H3BLT2_HUMAN_H3BLT2,WD repeat- and FYVE domain-containing protein 4 (Fragment) OS=Homo sapiens GN=WDFY4 PE=1 SV=1,NA,NA,NA,NA,NA,NA
SRG2B_HUMAN_P0DMP2,SLIT-ROBO Rho GTPase-activating protein 2B OS=Homo sapiens GN=SRGAP2B PE=3 SV=1,NA,NA,NA,0.6934,NA,NA
E7EWW5_HUMAN_E7EWW5,Metastasis suppressor protein 1 OS=Homo sapiens GN=MTSS1 PE=1 SV=1,NA,NA,NA,NA,NA,NA
F6XU50_HUMAN_F6XU50,Helicase_ lymphoid-specific_ isoform CRA_l OS=Homo sapiens GN=HELLS PE=1 SV=1,NA,NA,NA,NA,NA,NA
NMDE3_HUMAN_Q14957,Glutamate receptor ionotropic_ NMDA 2C OS=Homo sapiens GN=GRIN2C PE=1 SV=3,NA,NA,NA,NA,0.1225,NA
C9J5J3_HUMAN_C9J5J3,N-alpha-acetyltransferase 50 OS=Homo sapiens GN=NAA50 PE=1 SV=1,NA,NA,NA,NA,NA,0.0045
VPS50_HUMAN_Q96JG6,Syndetin OS=Homo sapiens GN=VPS50 PE=1 SV=3,NA,NA,NA,0.1094,NA,NA
A0A0D9SFL2_HUMAN_A0A0D9SFL2,Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens GN=PNKP PE=1 SV=1,NA,NA,NA,NA,NA,NA
NEMO_HUMAN_Q9Y6K9,NF-kappa-B essential modulator OS=Homo sapiens GN=IKBKG PE=1 SV=2,0.2,NA,NA,NA,NA,NA
APC4_HUMAN_Q9UJX5,Anaphase-promoting complex subunit 4 OS=Homo sapiens GN=ANAPC4 PE=1 SV=2,NA,0.5623,NA,NA,NA,NA
A2ML1_HUMAN_A8K2U0,Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens GN=A2ML1 PE=1 SV=3,NA,NA,NA,0.3155,NA,NA
NXT1_HUMAN_Q9UKK6,NTF2-related export protein 1 OS=Homo sapiens GN=NXT1 PE=1 SV=1,NA,NA,0.033,NA,NA,NA
ACSM6_HUMAN_Q6P461,Acyl-coenzyme A synthetase ACSM6_ mitochondrial OS=Homo sapiens GN=ACSM6 PE=2 SV=3,NA,NA,0.1013,NA,NA,NA
T132C_HUMAN_Q8N3T6,Transmembrane protein 132C OS=Homo sapiens GN=TMEM132C PE=2 SV=3,NA,NA,NA,NA,NA,NA
NECT2_HUMAN_Q92692,Nectin-2 OS=Homo sapiens GN=NECTIN2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
G3V3F9_HUMAN_G3V3F9,Vacuolar protein sorting-associated protein 33B OS=Homo sapiens GN=VPS33B PE=1 SV=1,NA,NA,NA,NA,NA,NA
CTU2_HUMAN_Q2VPK5,Cytoplasmic tRNA 2-thiolation protein 2 OS=Homo sapiens GN=CTU2 PE=1 SV=1,NA,NA,NA,NA,NA,NA
RSMB_HUMAN_P14678,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2,NA,NA,NA,NA,NA,NA
S14L5_HUMAN_O43304,SEC14-like protein 5 OS=Homo sapiens GN=SEC14L5 PE=2 SV=3,NA,NA,NA,NA,NA,NA
F5GXT8_HUMAN_F5GXT8,Diablo homolog_ mitochondrial (Fragment) OS=Homo sapiens GN=DIABLO PE=1 SV=1,NA,NA,NA,NA,NA,NA
CP135_HUMAN_Q66GS9,Centrosomal protein of 135 kDa OS=Homo sapiens GN=CEP135 PE=1 SV=2,NA,NA,NA,NA,NA,NA
E9PNS2_HUMAN_E9PNS2,Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 PE=1 SV=1,NA,NA,NA,NA,NA,NA
G3V2E7_HUMAN_G3V2E7,Kinesin light chain 1 OS=Homo sapiens GN=KLC1 PE=1 SV=1,NA,NA,NA,0.2624,NA,NA
STK33_HUMAN_Q9BYT3,Serine/threonine-protein kinase 33 OS=Homo sapiens GN=STK33 PE=1 SV=1,NA,NA,0.028,NA,NA,NA
J3KRR7_HUMAN_J3KRR7,Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens GN=CYLD PE=1 SV=1,NA,NA,NA,NA,NA,NA
K7EPX7_HUMAN_K7EPX7,MOB kinase activator 3A (Fragment) OS=Homo sapiens GN=MOB3A PE=1 SV=1,NA,NA,NA,NA,NA,NA
COMD5_HUMAN_Q9GZQ3,COMM domain-containing protein 5 OS=Homo sapiens GN=COMMD5 PE=1 SV=1,NA,NA,NA,NA,NA,NA
